raw_specialty,processed_specialties,is_junk,specialty_count
neurology,neurology,False,1
Emergency,emergency,False,1
med office,,True,0
12345,,True,0
CRITICAL CARE MEDICINE,critical care medicineicine,False,1
Family Med,family medicineicine,False,1
Onco,onco,False,1
Anesthesiology - USA,anesthesiology - usa,False,1
,,True,0
Endocr,endocr,False,1
Dentistry CLINIC,dentistry,False,1
Internal Medicine hospital,,True,0
UROLOGY,urology,False,1
Urology dept,urology,False,1
Dr. Critical Care Medicine,,True,0
orthopedic surgery,orthopedicedic surgeryery,False,1
FREE STANDING (RURAL HEALTH CLINIC) CLINIC,,True,0
Dr. Nephrology,,True,0
public health,public health,False,1
Cardiology Center,cardiology,False,1
Gerontology - Nurse Practitioner Center,gerontology - nurse practitioner,False,1
OPTICIAN CLINIC,optician,False,1
Critical Care Medicine - USA,critical care medicineicine - usa,False,1
ir,,True,0
Dermatology CLINIC,dermatology,False,1
Dr. PHYSICAL MEDICINE & REHAB,,True,0
Dr. Ophthalmology,,True,0
Dermatology hospital,dermatology,False,1
IP dept,,True,0
general,general,False,1
Internal Medicine Center,,True,0
Dermatology Service,dermatology,False,1
free standing (rural health clinic),,True,0
Dentistry Center,dentistry,False,1
Emergency Med,emergency medicineicine,False,1
OB/GYN Center,obstetrics gynecology,False,1
Nephrology hospital,nephrology,False,1
gerontology - nurse practitioner,gerontology - nurse practitioner,False,1
0B/GYN,0b gynecology,False,1
Critical Care Medicine hospital,critical care medicineicine,False,1
1P,,True,0
Oncology CLINIC,oncology,False,1
Anesthesiology Center,anesthesiology,False,1
Radiology CLINIC,radiology,False,1
Dr. Anesthesiology,,True,0
Family Medicine - USA,family medicineicine - usa,False,1
PULMONARY,,True,0
nephrology,nephrology,False,1
PHYSICAL MEDICINE and REHAB,physical medicineicine rehab,False,1
Dr. Endocrinology,,True,0
Oncology hospital,oncology,False,1
urology,urology,False,1
PSYCHIATRY,psychiatry,False,1
PHYSICAL MEDICINE & REHAB hospital,physical medicineicine rehab,False,1
Gerontology - Nurse Practitioner dept,gerontology - nurse practitioner,False,1
TAXI dept,taxi,False,1
Family Medicine hospital,family medicineicine,False,1
Nephrology CLINIC,nephrology,False,1
Dr. Oncology,,True,0
Emergency Medicine hospital,emergency medicineicine,False,1
psychiatry,psychiatry,False,1
urgent,urgent,False,1
Oncology - USA,oncology - usa,False,1
Dr. IP,,True,0
routine,,True,0
IP Center,,True,0
Public,public,False,1
EMERGENCY MEDICINE,emergency medicineicine,False,1
Psychiatry dept,psychiatry,False,1
Endocrinology dept,endocrinology,False,1
Orthopedic Surgery - USA,orthopedicedic surgeryery - usa,False,1
Neurology Center,neurology,False,1
Psychiatry hospital,psychiatry,False,1
specialty,specialty,False,1
Cardiology Service,cardiology,False,1
Psychiatry CLINIC,psychiatry,False,1
NEUROLOGY,neurology,False,1
Dr. OPTICIAN,,True,0
Gerontology - Nu,gerontology - nu,False,1
PULMONARY MEDICINE - USA,,True,0
critical care medicine,critical care medicineicine,False,1
Psychiatry Center,psychiatry,False,1
IP CLINIC,,True,0
OPTICIAN - USA,optician - usa,False,1
Family ,family,False,1
PHYSICAL MEDICINE & REHAB Service,physical medicineicine rehab,False,1
cardiology,cardiology,False,1
Nephrology Service,nephrology,False,1
Family Medicine Service,family medicineicine,False,1
PEDIATRICS Service,pediatrics,False,1
Gastroenterology - USA,gastroenterology - usa,False,1
TAXI CLINIC,taxi,False,1
Derma,derma,False,1
pulmonary medicine,,True,0
internal medicine,,True,0
Dermatology dept,dermatology,False,1
Dr. Orthopedic Surgery,,True,0
ANESTHESIOLOGY,anesthesiology,False,1
NEPHROLOGY,nephrology,False,1
radiology,radiology,False,1
gastroenterology,gastroenterology,False,1
Dr. IR,,True,0
Family Medicine Center,family medicineicine,False,1
InternalMedicine,,True,0
PULMONARY MEDICINE hospital,,True,0
Anesthesiology CLINIC,anesthesiology,False,1
ip,,True,0
0ncology,0ncology,False,1
oncology,oncology,False,1
FREE STANDING (RU,,True,0
TAX1,tax1,False,1
Midwife Service,midwife,False,1
Dermatology,dermatology,False,1
FREE STANDING (RURAL HEALTH CLINIC) Practice,practice,False,1
temporary,,True,0
Medical ,medicineical,False,1
Speech-Language Pathologist Practice,speech-language pathologist practice,False,1
Oncology dept,oncology,False,1
Dietitian dept,dietitian,False,1
Midwife Division,midwife,False,1
Behavioral Health Counselor Service,behavioral health counselor,False,1
Ophthalmology,ophthalmology,False,1
Occupational Therapist hospital,,True,0
REPRODUCTIVE ENDOCRINOLOGY,reproductive endocrinology,False,1
Dept of Infectious Disease,of infectious disease,False,1
PEDIATRIC OPTOMETRIST,pediatric optometrist,False,1
Urology,urology,False,1
Gastroen,gastroen,False,1
Neurology,neurology,False,1
Nuclear Medicine Center,nuclear medicineicine,False,1
gerontology - nurse practitioner,gerontology - nurse practitioner,False,1
Radiology Service,radiology,False,1
Dr. Ophthalmology,,True,0
Gastroenterology,gastroenterology,False,1
Registered Nurse Division,registered nurse,False,1
Dentistry hospital,dentistry,False,1
Registered Nurse dept,registered nurse,False,1
Orthopedic Surgery - USA,orthopedicedic surgeryery - usa,False,1
General Practice,general practice,False,1
Dept of Anesthesiology,of anesthesiology,False,1
Infectious Disease Practice,infectious disease practice,False,1
Hospice and Palliative Care Unit,hospice palliative care,False,1
Nuclear Medicine Unit,nuclear medicineicine,False,1
Neurology dept,neurology,False,1
Pharmacy,pharmacy,False,1
Midwife,midwife,False,1
IR,,True,0
HospiceandPalliativeCare,hospiceandpalliativecare,False,1
Nuclear Medicine Division,nuclear medicineicine,False,1
PEDIATRIC DENTISTRY,pediatric dentistry,False,1
tbd,,True,0
Optician,optician,False,1
Orthotics and Prosthetics,orthotics prosthetics,False,1
Speech-Language Pathologist,speech-language pathologist,False,1
Dr. Emergency Medical Technician,,True,0
Neuropsychiatry,neuropsychiatry,False,1
Pediatrics,pediatrics,False,1
Infectiou,infectiou,False,1
Hematology,hematology,False,1
Dr. PULMONARY MEDICINE,,True,0
OB/GYN Center,obstetrics gynecology,False,1
Surgical Oncology Practice,surgeryical oncology practice,False,1
Orthotics and Prosthetics Division,orthotics prosthetics,False,1
Dentistry,dentistry,False,1
Pain Management Division,,True,0
Critical Ca,critical ca,False,1
Dr. PEDIATRICS,,True,0
Orthotics and Prosthetics Services,orthotics prosthetics services,False,1
Geriatric Medicine Services,geriatric medicineicine services,False,1
AUDIOLOGY,audiology,False,1
dermatology,dermatology,False,1
VASCULAR SURGERY,vascular surgeryery,False,1
Emergency Medical Technician hospital,emergency medicineical technician,False,1
Dept of Plastic Surgery,of plastic surgeryery,False,1
Adult Health Nurse Practitioner Practice,adult health nurse practitioner practice,False,1
Orthopedic Surgery,orthopedicedic surgeryery,False,1
Urology Division,urology,False,1
SurgicalOncology,surgeryicaloncology,False,1
Infectious Disease hospital,infectious disease,False,1
Speech-Langua,speech-langua,False,1
OPHTHALMOLOGY,ophthalmology,False,1
COMMUNITY HEALTH - CLINIC/CENTER CLINIC,,True,0
abc clinic,,True,0
Dr. PHYSICAL MEDICINE & REHAB,,True,0
Dept of Radiation Oncology,of radiation oncology,False,1
nuclear medicine,nuclear medicineicine,False,1
COMMUNITY HEALTH - CLINIC/CENTER Unit,,True,0
Naturopathic Physician Division,,True,0
Family Medicine,family medicineicine,False,1
Dept of Emergency Medicine,of emergency medicineicine,False,1
Clinical Psychology,clinical psychology,False,1
Behavioral Health Counselor Practice,behavioral health counselor practice,False,1
Adult Health Nurse Practitioner,adult health nurse practitioner,False,1
Clinical Laboratory,clinical laboratory,False,1
Dept of Cardiology,of cardiology,False,1
Dentistry Service,dentistry,False,1
Clinical ,clinical,False,1
Family-Medicine,family-medicineicine,False,1
Nuclear Medicine,nuclear medicineicine,False,1
C0MMUNITY HEALTH - CLINIC/CENTER,c0mmunity health -,False,1
PHYSICAL MEDICINE & REHAB Services,physical medicineicine rehab services,False,1
PEDIATRIC OPTOMETRIST Division,pediatric optometrist,False,1
Endocrinology CLINIC,endocrinology,False,1
PHYSICAL MED,physical medicine,False,1
Surgical-Oncology,surgeryical-oncology,False,1
Surgical Oncology,surgeryical oncology,False,1
Sports Medicine,sports medicineicine,False,1
OPTICIAN,optician,False,1
Orthotics and Prosthetics Service,orthotics prosthetics,False,1
Gerontology - Nu,gerontology - nu,False,1
TAXI,taxi,False,1
PHYS1CAL MED1C1NE & REHAB,phys1cal medicine1c1ne rehab,False,1
Chiropractic,chiropractic,False,1
General Practice Center,general practice,False,1
PEDIATRICS Service,pediatrics,False,1
Dr. Dermatology,,True,0
Ophtha,ophtha,False,1
Anesthesiology,anesthesiology,False,1
Radiology - USA,radiology - usa,False,1
General Practice Practice,general practice practice,False,1
Dept of Registered Nurse,of registered nurse,False,1
Infectious Disease,infectious disease,False,1
Pathology Unit,pathology,False,1
IP hospital,,True,0
Cardiothoracic Surgery,cardiothoracic surgeryery,False,1
Behavioral Health Counselor Services,behavioral health counselor services,False,1
Behavioral-Health-Counselor,behavioral-health-counselor,False,1
ANESTHESIOLOGY,anesthesiology,False,1
Nephrology Practice,nephrology practice,False,1
COMMUNITYHEALTH-CLINIC/CENTER,communityhealth-,False,1
Dr. Hospice and Palliative Care,,True,0
Gastroenterology Center,gastroenterology,False,1
Addiction Medicine Division,addiction medicineicine,False,1
Cardiology,cardiology,False,1
Endocrinology,endocrinology,False,1
NuclearMedicine,nuclearmedicineicine,False,1
1R,,True,0
Geriatric Medicine Center,geriatric medicineicine,False,1
General-Practice,general-practice,False,1
Surgical Oncology Service,surgeryical oncology,False,1
FREE STANDING (RURAL HEALTH CLINIC) Center,,True,0
MARRIAGE & FAMILY THERAPIST Program,marriage family therapist,False,1
Dept of Neurology,of neurology,False,1
Reproductive Endocrinology,reproductive endocrinology,False,1
Neuropsychiatry - USA,neuropsychiatry - usa,False,1
Neurology hospital,neurology,False,1
temp,,True,0
Pediatric Dentistry,pediatric dentistry,False,1
0ccupational Therapist,,True,0
routine,,True,0
Urology Center,urology,False,1
,,True,0
Reproductive Endocrinology dept,reproductive endocrinology,False,1
MARRIAGE & FAMILY THERAPIST Division,marriage family therapist,False,1
Emergency Medicine,emergency medicineicine,False,1
Dr. General Practice,,True,0
Pain Management - USA,,True,0
CARDIOTHORACIC SURGERY,cardiothoracic surgeryery,False,1
Dept of Medical Genetics,of medicineical genetics,False,1
Geriatric Medicine,geriatric medicineicine,False,1
PEDIATRIC OPTOMETRIST Unit,pediatric optometrist,False,1
surgical oncology,surgeryical oncology,False,1
OB/GYN dept,obstetrics gynecology,False,1
Hospice and Palliative Care,hospice palliative care,False,1
Orthotics an,orthotics an,False,1
Oncology,oncology,False,1
Dept of Critical Care Medicine,of critical care medicineicine,False,1
radiation oncology,radiation oncology,False,1
Pain-Management,,True,0
Emergency Medicine hospital,emergency medicineicine,False,1
0phthalmology,0phthalmology,False,1
Dept of Radiology,of radiology,False,1
PHYSICAL MEDICINE & REHAB Practice,physical medicineicine rehab practice,False,1
pulmonary medicine,,True,0
Registered Nurse Unit,registered nurse,False,1
Nuclear Medicine Service,nuclear medicineicine,False,1
Cardiology - USA,cardiology - usa,False,1
Midwife Program,midwife,False,1
Audiology,audiology,False,1
Endocrinology Services,endocrinology services,False,1
Public Health,public health,False,1
Medical Genetics,medicineical genetics,False,1
Pediatric Dentistry CLINIC,pediatric dentistry,False,1
TAXI Services,taxi services,False,1
Psychiatry,psychiatry,False,1
Psychiatry CLINIC,psychiatry,False,1
cardiothoracic surgery,cardiothoracic surgeryery,False,1
Public Health Services,public health services,False,1
Speech-Language Pathologist Program,speech-language pathologist,False,1
Oncology Service,oncology,False,1
Naturopathic Physician hospital,,True,0
Pathology,pathology,False,1
Audiology Program,audiology,False,1
Plastic Surgery Service,plastic surgeryery,False,1
Clinical Laboratory Practice,clinical laboratory practice,False,1
Geriatric,geriatric,False,1
MARRIAGE & FAMILY THERAPIST,marriage family therapist,False,1
Adult Health Nurse Practitioner - USA,adult health nurse practitioner - usa,False,1
Dept of Orthopedic Surgery,of orthopedicedic surgeryery,False,1
Behavioral Health Counselor,behavioral health counselor,False,1
emergency medical technician,emergency medicineical technician,False,1
Pediatric Dentistry Program,pediatric dentistry,False,1
Dietitian Services,dietitian services,False,1
Critical Care Medicine,critical care medicineicine,False,1
Naturopathic Physician Unit,,True,0
PHYSICAL MEDICINE & REHAB hospital,physical medicineicine rehab,False,1
Neurology Service,neurology,False,1
Medical Genetics CLINIC,medicineical genetics,False,1
Dr. Oncology,,True,0
PEDIATRIC ,pediatric,False,1
Internal Med,,True,0
urology,urology,False,1
Orthopedic Surgery CLINIC,orthopedicedic surgeryery,False,1
Radiology Services,radiology services,False,1
CHIROPRACTIC,chiropractic,False,1
MARRIAGE & FAMILY THERAPIST hospital,marriage family therapist,False,1
REGISTERED NURSE,registered nurse,False,1
Plastic Surgery,plastic surgeryery,False,1
COMMUNITY HEALTH - CLINIC/CENTER hospital,,True,0
Radiology Division,radiology,False,1
Medical Genetics Center,medicineical genetics,False,1
Dept of PEDIATRICS,of pediatrics,False,1
Occupational Therapist dept,,True,0
OPTICIAN Practice,optician practice,False,1
Radiology,radiology,False,1
zzz,,True,0
Critical Care Medicine Program,critical care medicineicine,False,1
Clinical Psychology CLINIC,clinical psychology,False,1
Dr. Endocrinology,,True,0
Dept of Adult Health Nurse Practitioner,of adult health nurse practitioner,False,1
Pharmacy - USA,pharmacy - usa,False,1
12345,,True,0
Cardiothoracic-Surgery,cardiothoracic-surgeryery,False,1
Dentistry Practice,dentistry practice,False,1
PHYSICAL MEDICINE & REHAB CLINIC,physical medicineicine rehab,False,1
hematology,hematology,False,1
critical care medicine,critical care medicineicine,False,1
Dermatology Division,dermatology,False,1
Clinical Psychology Service,clinical psychology,False,1
Nuclear Med,nuclear medicine,False,1
1P,,True,0
PHYSICAL MEDICINE & REHAB,physical medicineicine rehab,False,1
Dept of Clinical Psychology,of clinical psychology,False,1
Hospice and Palliative Care Services,hospice palliative care services,False,1
Public Health Unit,public health,False,1
Neurops,neurops,False,1
Emergency Medical Technician,emergency medicineical technician,False,1
General Practice dept,general practice,False,1
Dr. Neuropsychiatry,,True,0
emergency medicine,emergency medicineicine,False,1
IP,,True,0
radiology mobile clinic/center,radiology mobile,False,1
Gastroenterology Division,gastroenterology,False,1
Sports Medicine CLINIC,sports medicineicine,False,1
Critical Care Medicine Practice,critical care medicineicine practice,False,1
Pharmacy Practice,pharmacy practice,False,1
Dept of Dietitian,of dietitian,False,1
Plastic Surgery hospital,plastic surgeryery,False,1
Dr. Reproductive Endocrinology,,True,0
Gerontology - Nurse Practitioner hospital,gerontology - nurse practitioner,False,1
PEDIATRICOPTOMETRIST,pediatricoptometrist,False,1
Neurology Center,neurology,False,1
Emergency-Medical-Technician,emergency-medicineical-technician,False,1
Dietitian Division,dietitian,False,1
Derma,derma,False,1
Infectious Disease Center,infectious disease,False,1
FREE STANDING (RURAL HEALTH CLINIC),,True,0
INTERNAL MEDICINE,,True,0
miscellaneous,miscellaneous,False,1
clinical psychology,clinical psychology,False,1
PEDIATRICS,pediatrics,False,1
orthopedic surgery,orthopedicedic surgeryery,False,1
none,,True,0
??,,True,0
COMMUNITY HEALTH - CLINIC/CENTER,,True,0
Vascular Surgery,vascular surgeryery,False,1
Plastic Surgery Program,plastic surgeryery,False,1
Hematology dept,hematology,False,1
Marriage & Family Therapist,marriage family therapist,False,1
test,,True,0
Psychiatry Unit,psychiatry,False,1
ip,,True,0
OB/GYN CLINIC,obstetrics gynecology,False,1
PSYCHIATRY,psychiatry,False,1
Chiropractic Center,chiropractic,False,1
Gerontology - Nurse Practitioner - USA,gerontology - nurse practitioner - usa,False,1
0rthotics and Prosthetics,0rthotics prosthetics,False,1
Adult Health Nu,adult health nu,False,1
Cardiology dept,cardiology,False,1
COMMUNITY HEALTH - CLINIC/CENTER Center,,True,0
Dermatology dept,dermatology,False,1
Naturopathic Physician,,True,0
####,,True,0
Surgical Oncology Center,surgeryical oncology,False,1
RADIOLOGY MOBILE CLINIC/CENTER CLINIC,radiology mobile,False,1
Critical Care Medicine Services,critical care medicineicine services,False,1
Infectious Disease Program,infectious disease,False,1
Orthotics and Prosthetics Practice,orthotics prosthetics practice,False,1
error,,True,0
Neuropsychiatry Services,neuropsychiatry services,False,1
Audiology Center,audiology,False,1
Radiation Oncology Program,radiation oncology,False,1
Addiction,addiction,False,1
RADIOLOGY MOBILE CLINIC/CENTER,radiology mobile,False,1
Dept of RADIOLOGY MOBILE CLINIC/CENTER,of radiology mobile,False,1
Dr. MARRIAGE & FAMILY THERAPIST,,True,0
Midw,midw,False,1
IR dept,,True,0
Radiation Oncology,radiation oncology,False,1
Sleep Medicine Program,sleep medicineicine,False,1
adult health nurse practitioner,adult health nurse practitioner,False,1
Dietitian,dietitian,False,1
Nephrology Center,nephrology,False,1
sample,,True,0
radiology,radiology,False,1
Hospice and Palliative Care Division,hospice palliative care,False,1
no data,no data,False,1
Geriatric Med,geriatric medicine,False,1
Sports Medicine hospital,sports medicineicine,False,1
RADIOLOGYMOBILECLINIC/CENTER,radiologymobileclinic,False,1
Registered Nurse CLINIC,registered nurse,False,1
Speech-Language Pathologist - USA,speech-language pathologist - usa,False,1
general,general,False,1
misc,misc,False,1
Family Medicine Division,family medicineicine,False,1
Endocrinology Unit,endocrinology,False,1
Clinical Psychology Practice,clinical psychology practice,False,1
RAD1OLOGY MOB1LE CL1N1C/CENTER,rad1ology mob1le cl1n1c,False,1
Neuropsychiatry CLINIC,neuropsychiatry,False,1
InternalMedicine,,True,0
other,other,False,1
Speech-LanguagePathologist,speech-languagepathologist,False,1
IR Services,ir services,False,1
PATHOLOGY,pathology,False,1
Geriatric Medicine Division,geriatric medicineicine,False,1
Surgical Oncology Division,surgeryical oncology,False,1
Sports-Medicine,sports-medicineicine,False,1
Neur,neur,False,1
pathology,pathology,False,1
Pediatric Dentistry Center,pediatric dentistry,False,1
Audiology Unit,audiology,False,1
IR Unit,,True,0
Endocrinology Division,endocrinology,False,1
Occupational Therapist Division,,True,0
Pathology Center,pathology,False,1
Urology Service,urology,False,1
Vascular Surgery Services,vascular surgeryery services,False,1
PULMONARY MEDICINE,,True,0
FREE STANDING (RURAL HEALTH CLINIC) Services,services,False,1
OB/GYN,obstetrics gynecology,False,1
Critical Care Medicine - USA,critical care medicineicine - usa,False,1
Emergency Medical Technician Services,emergency medicineical technician services,False,1
PEDIATRIC OPTOMETRIST Center,pediatric optometrist,False,1
Nephrology,nephrology,False,1
specialty,specialty,False,1
Medical Genetics Service,medicineical genetics,False,1
Dentistry Center,dentistry,False,1
marriage & family therapist,marriage family therapist,False,1
Radiation Oncology Practice,radiation oncology practice,False,1
PULMONARY MEDICINE CLINIC,,True,0
DIETITIAN,dietitian,False,1
Internal Medicine,,True,0
not available,not available,False,1
Sports Medicine Division,sports medicineicine,False,1
Behavioral Health Counselor Unit,behavioral health counselor,False,1
Cardiothoracic Surgery Services,cardiothoracic surgeryery services,False,1
abcd,,True,0
Dr. Pharmacy,,True,0
Nephr,nephr,False,1
PEDIATRIC OPTOMETRIST Practice,pediatric optometrist practice,False,1
PEDIATRICS Services,pediatrics services,False,1
Hospice and P,hospice p,False,1
Dept of Geriatric Medicine,of geriatric medicineicine,False,1
PublicHealth,publichealth,False,1
Registered Nurse,registered nurse,False,1
RADIOLOGY MOBILE CLINIC/CENTER - USA,radiology mobile - usa,False,1
nephrology,nephrology,False,1
MARRIAGE & FAMILY THERAPIST Center,marriage family therapist,False,1
CARDIOLOGY,cardiology,False,1
MARRIAGE and FAMILY THERAPIST,marriage family therapist,False,1
OPTICIAN dept,optician,False,1
Plastic Surgery Unit,plastic surgeryery,False,1
Occupational Therapist Practice,,True,0
Dr. Anesthesiology,,True,0
Family Medicine CLINIC,family medicineicine,False,1
Dept of Pediatric Dentistry,of pediatric dentistry,False,1
PEDIATRICS dept,pediatrics,False,1
Endocrinology dept,endocrinology,False,1
Pain Ma,pain ma,False,1
Ophthalmology CLINIC,ophthalmology,False,1
Geriatric Medicine Service,geriatric medicineicine,False,1
Pathology Division,pathology,False,1
Infectious Disease Unit,infectious disease,False,1
AddictionMedicine,addictionmedicineicine,False,1
Hematology CLINIC,hematology,False,1
MARRIAGE & FAMILY THERAPIST dept,marriage family therapist,False,1
Urology Practice,urology practice,False,1
RADIOLOGY-MOBILE-CLINIC/CENTER,radiology-mobile-,False,1
Naturopathic Physician CLINIC,,True,0
Ir,,True,0
endocrinology,endocrinology,False,1
Audiology hospital,audiology,False,1
Emergency Medical Technician CLINIC,emergency medicineical technician,False,1
Sleep Medicine,sleep medicineicine,False,1
Speech-Language Pathologist Unit,speech-language pathologist,False,1
Surgical Oncology dept,surgeryical oncology,False,1
Dr. Medical Genetics,,True,0
Anesthesiology Practice,anesthesiology practice,False,1
MARRIAGE & FAMILY THERAPIST Services,marriage family therapist services,False,1
RADIATION ONCOLOGY,radiation oncology,False,1
Clinical Psychology Program,clinical psychology,False,1
FREE STANDING (RURAL HEALTH CLINIC) hospital,,True,0
Audiology Division,audiology,False,1
Emergency-Medicine,emergency-medicineicine,False,1
OB/GYN - USA,obstetrics gynecology - usa,False,1
naturopathic physician,,True,0
Vascular Surgery Service,vascular surgeryery,False,1
Hematology Practice,hematology practice,False,1
Sleep M,sleep m,False,1
Hospice-and-Palliative-Care,hospice- -palliative-care,False,1
Dept of OB/GYN,of obstetrics gynecology,False,1
PHYSICAL MEDICINE & REHAB dept,physical medicineicine rehab,False,1
Psychiatry Services,psychiatry services,False,1
Pharmacy dept,pharmacy,False,1
PEDIATRICS - USA,pediatrics - usa,False,1
COMMUNITY HEALTH - CLINIC/CENTER Service,,True,0
Ophthalmology Program,ophthalmology,False,1
Radiology hospital,radiology,False,1
ONCOLOGY,oncology,False,1
Speech-Language Pathologist hospital,speech-language pathologist,False,1
IR Division,,True,0
Dept of Naturopathic Physician,,True,0
COMMUNITY HEALTH - CLINIC/CENTER Division,,True,0
Clinical Laboratory Center,clinical laboratory,False,1
MARRIAGE & FAMILY THERAPIST Service,marriage family therapist,False,1
Dr. Critical Care Medicine,,True,0
TAXI Division,taxi,False,1
Chiropractic Practice,chiropractic practice,False,1
RegisteredNurse,registerednurse,False,1
Sleep Medicine - USA,sleep medicineicine - usa,False,1
Cardiothoracic Surgery Practice,cardiothoracic surgeryery practice,False,1
Family Medicine Practice,family medicineicine practice,False,1
Naturopathic Physician Center,,True,0
MARRIAGE & FAMILY THERAPIST - USA,marriage family therapist - usa,False,1
MARRIAGE & FAMILY THERAPIST CLINIC,marriage family therapist,False,1
GeriatricMedicine,geriatricmedicineicine,False,1
Reproductive Endocrinology Service,reproductive endocrinology,False,1
Infectious Disease CLINIC,infectious disease,False,1
Reproductive Endocrinology Services,reproductive endocrinology services,False,1
Neuropsychiatry Program,neuropsychiatry,False,1
Gerontology - Nurse Practitioner,gerontology - nurse practitioner,False,1
Hemat,hemat,False,1
MIDWIFE,midwife,False,1
Dietitian Unit,dietitian,False,1
PULM0NARY MEDICINE,,True,0
Dr. Dietitian,,True,0
PULMONARY MEDICINE dept,,True,0
Family Medicine Services,family medicineicine services,False,1
Anesthesiology Service,anesthesiology,False,1
Dietitian Service,dietitian,False,1
Addiction Medicine,addiction medicineicine,False,1
Ophthalmology dept,ophthalmology,False,1
Dr. OPTICIAN,,True,0
Clinical Psychology Division,clinical psychology,False,1
RADIOLOGY MOBILE CLINIC/CENTER dept,radiology mobile,False,1
Radiation Oncology dept,radiation oncology,False,1
Vascular Surgery dept,vascular surgeryery,False,1
Oncology Program,oncology,False,1
Cardiothoracic Surgery hospital,cardiothoracic surgeryery,False,1
Neurology Practice,neurology practice,False,1
Phar,phar,False,1
Clinical Laboratory Program,clinical laboratory,False,1
Neurology Program,neurology,False,1
Dept of Chiropractic,of chiropractic,False,1
sleep medicine,sleep medicineicine,False,1
Urology CLINIC,urology,False,1
Public Health Program,public health,False,1
Geriatric Medicine hospital,geriatric medicineicine,False,1
Sports Medicine dept,sports medicineicine,False,1
Chiropractic - USA,chiropractic - usa,False,1
Vascular Surgery Unit,vascular surgeryery,False,1
Emergency Medical Technician Center,emergency medicineical technician,False,1
Public-Health,public-health,False,1
MARRIAGE&FAMILYTHERAPIST,marriage familytherapist,False,1
Dept of Cardiothoracic Surgery,of cardiothoracic surgeryery,False,1
Adult Health Nurse Practitioner dept,adult health nurse practitioner,False,1
Public Health dept,public health,False,1
misc entry,misc entry,False,1
BEHAVIORAL HEALTH COUNSELOR,behavioral health counselor,False,1
Surgical Oncology Unit,surgeryical oncology,False,1
ob/gyn,obstetrics gynecology,False,1
Cardiothoracic Surgery Center,cardiothoracic surgeryery,False,1
IP - USA,ip - usa,False,1
MedicalGenetics,medicineicalgenetics,False,1
Orthotics-and-Prosthetics,orthotics- -prosthetics,False,1
Dr. Occupational Therapist,,True,0
PEDIATRICS Practice,pediatrics practice,False,1
MEDICAL GENETICS,medicineical genetics,False,1
Cardiology Services,cardiology services,False,1
ClinicalLaboratory,clinicallaboratory,False,1
Pathology dept,pathology,False,1
Midwife Unit,midwife,False,1
public health,public health,False,1
Dept of Pharmacy,of pharmacy,False,1
Endocr,endocr,False,1
Nuclear Medicine - USA,nuclear medicineicine - usa,False,1
GENERAL PRACTICE,general practice,False,1
Clinical Laboratory - USA,clinical laboratory - usa,False,1
Occupational Therapist,,True,0
Dr. Audiology,,True,0
Hospice and Palliative Care Service,hospice palliative care,False,1
IR CLINIC,,True,0
Behavioral Health Counselor Center,behavioral health counselor,False,1
Dr. PEDIATRIC OPTOMETRIST,,True,0
Ophthalmology Service,ophthalmology,False,1
Neurology Services,neurology services,False,1
VascularSurgery,vascularsurgeryery,False,1
OB/GYN Practice,obstetrics gynecology practice,False,1
Pain Management Unit,,True,0
Sleep Medicine CLINIC,sleep medicineicine,False,1
Orthotics and Prosthetics CLINIC,orthotics prosthetics,False,1
IR Service,,True,0
Oncology CLINIC,oncology,False,1
Addiction Medicine Center,addiction medicineicine,False,1
Psychiatry - USA,psychiatry - usa,False,1
Plastic-Surgery,plastic-surgeryery,False,1
TAX1,tax1,False,1
Sports Medicine Service,sports medicineicine,False,1
Orthopedic Surgery Division,orthopedicedic surgeryery,False,1
Speech-Language Pathologist Services,speech-language pathologist services,False,1
Dr. IR,,True,0
Internal Medicine Program,,True,0
Emergency Medical Technician - USA,emergency medicineical technician - usa,False,1
Dr. Orthotics and Prosthetics,,True,0
pediatric optometrist,pediatric optometrist,False,1
pharmacy,pharmacy,False,1
PEDIATRICS Center,pediatrics,False,1
FREE STANDING (RU,,True,0
Gerontology - Nurse Practitioner Division,gerontology - nurse practitioner,False,1
Behavioral Health Counselor - USA,behavioral health counselor - usa,False,1
Reproductive Endocrinology CLINIC,reproductive endocrinology,False,1
Dr. Vascular Surgery,,True,0
Dr. Chiropractic,,True,0
Radiology Practice,radiology practice,False,1
Speech-Language Pathologist dept,speech-language pathologist,False,1
Clinical-Laboratory,clinical-laboratory,False,1
Dept of Endocrinology,of endocrinology,False,1
Neuropsychiatry Service,neuropsychiatry,False,1
Radiation Oncology Division,radiation oncology,False,1
Emergency Med,emergency medicineicine,False,1
COMMUNITY HEALTH - CLINIC/CENTER Practice,- practice,False,1
Internal-Medicine,,True,0
Pain Management,,True,0
Midwife dept,midwife,False,1
SportsMedicine,sportsmedicineicine,False,1
PULMONARY MED1C1NE,,True,0
OPTICIAN Unit,optician,False,1
Dept of FREE STANDING (RURAL HEALTH CLINIC),,True,0
General Practice Service,general practice,False,1
Ophthalmology - USA,ophthalmology - usa,False,1
Sports Medicine Center,sports medicineicine,False,1
Pediatric Dentistry Service,pediatric dentistry,False,1
Audiology CLINIC,audiology,False,1
Dr. Infectious Disease,,True,0
PULMONARYMEDICINE,,True,0
PULMONARY MEDICINE Program,,True,0
